rbp_id	species	gene_id	transcript_id	chromosome	start	end	strand	site_center	source_file	evidence_type	raw_score	notes
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753446	753447	-	753447	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	6.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753448	753449	-	753449	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	9.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753450	753451	-	753451	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753453	753454	-	753454	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753454	753455	-	753455	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	4.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753456	753457	-	753457	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	6.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753457	753458	-	753458	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753458	753459	-	753459	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	5.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753460	753461	-	753461	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	7.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753461	753462	-	753462	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753462	753463	-	753463	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753463	753464	-	753464	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753465	753466	-	753466	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	19.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753466	753467	-	753467	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753467	753468	-	753468	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	21.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753468	753469	-	753469	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	4.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753476	753477	-	753477	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	7.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753477	753478	-	753478	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	4.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753479	753480	-	753480	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753496	753497	-	753497	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753503	753504	-	753504	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753505	753506	-	753506	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	4.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753506	753507	-	753507	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	5.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03130	AT1G03130.1	1	753507	753508	-	753508	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	8.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03600	AT1G03600.1	1	899088	899089	+	899089	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	6.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03600	AT1G03600.1	1	899089	899090	+	899090	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	4.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03600	AT1G03600.1	1	899093	899094	+	899094	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03680	AT1G03680.1	1	916951	916952	-	916952	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	7.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G03680	AT1G03680.1	1	916953	916954	-	916954	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	5.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04410	AT1G04410.1	1	1189228	1189229	-	1189229	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	6.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04410	AT1G04410.1	1	1189232	1189233	-	1189233	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	6.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04410	AT1G04410.1	1	1189233	1189234	-	1189234	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04410	AT1G04410.1	1	1189234	1189235	-	1189235	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	9.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04410	AT1G04410.1	1	1189240	1189241	-	1189241	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	5.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04410	AT1G04410.1	1	1189242	1189243	-	1189243	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	12.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04410	AT1G04410.1	1	1189243	1189244	-	1189244	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	4.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04410	AT1G04410.1	1	1189245	1189246	-	1189246	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	4.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04410	AT1G04410.1	1	1189251	1189252	-	1189252	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04410	AT1G04410.1	1	1189301	1189302	-	1189302	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04480	AT1G04480.1_I2	1	1217002	1217003	+	1217003	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	7.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04480	AT1G04480.1_I2	1	1217006	1217007	+	1217007	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04480	AT1G04480.1_I2	1	1217007	1217008	+	1217008	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	5.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G04480	AT1G04480.1_I2	1	1217017	1217018	+	1217018	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768058	1768059	-	1768059	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768060	1768061	-	1768061	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	10.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768062	1768063	-	1768063	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	5.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768064	1768065	-	1768065	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768065	1768066	-	1768066	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	6.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768067	1768068	-	1768068	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768068	1768069	-	1768069	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768076	1768077	-	1768077	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	7.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768077	1768078	-	1768078	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	5.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768081	1768082	-	1768082	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768648	1768649	-	1768649	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	4.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768649	1768650	-	1768650	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G05850	AT1G05850.1	1	1768653	1768654	-	1768654	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G06000	AT1G06000.1	1	1820329	1820330	-	1820330	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	9.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G06000	AT1G06000.1	1	1820331	1820332	-	1820332	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	8.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G06000	AT1G06000.1	1	1820338	1820339	-	1820339	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	13.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G06000	AT1G06000.1	1	1820339	1820340	-	1820340	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G06000	AT1G06000.1	1	1821843	1821844	-	1821844	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	5.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
