source	protein_id	embedding_row	species_abbrev
music_clip_train	PUM1|HUMAN|Q14671	139	HUMAN
music_clip_train	PUM2|HUMAN|Q8TB72	140	HUMAN
music_clip_train	PUS1|HUMAN|Q9Y606	141	HUMAN
music_clip_train	QKI|HUMAN|Q96PU8	142	HUMAN
music_clip_train	RBFOX1|HUMAN|Q9NWB1	143	HUMAN
music_clip_train	RBFOX2|HUMAN|O43251	144	HUMAN
music_clip_train	RBM10|HUMAN|P98175	145	HUMAN
music_clip_train	RBM15|HUMAN|Q96T37	146	HUMAN
music_clip_train	RBM15B|HUMAN|Q8NDT2	147	HUMAN
music_clip_train	RBM22|HUMAN|Q9NW64	148	HUMAN
music_clip_train	RBM47|HUMAN|A0AV96	149	HUMAN
music_clip_train	RBM5|HUMAN|P52756	150	HUMAN
music_clip_train	RBPMS|HUMAN|Q93062	151	HUMAN
music_clip_train	RPS11|HUMAN|P62280	152	HUMAN
music_clip_train	RPS3|HUMAN|P23396	153	HUMAN
music_clip_train	RTCB|HUMAN|Q9Y3I0	154	HUMAN
music_clip_train	SAFB|HUMAN|Q15424	155	HUMAN
music_clip_train	SAFB2|HUMAN|Q14151	156	HUMAN
music_clip_train	SDAD1|HUMAN|Q9NVU7	157	HUMAN
music_clip_train	SDOS|HUMAN|Q9BRJ7	158	HUMAN
music_clip_train	SERBP1|HUMAN|Q8NC51	159	HUMAN
music_clip_train	SF3A3|HUMAN|Q12874	160	HUMAN
music_clip_train	SF3B1|HUMAN|O75533	161	HUMAN
music_clip_train	SF3B4|HUMAN|Q15427	162	HUMAN
music_clip_train	SFPQ|HUMAN|P23246	163	HUMAN
music_clip_train	SLBP|HUMAN|Q14493	164	HUMAN
music_clip_train	SLTM|HUMAN|Q9NWH9	165	HUMAN
music_clip_train	SMN|HUMAN|P63162	166	HUMAN
music_clip_train	SMNDC1|HUMAN|O75940	167	HUMAN
music_clip_train	SND1|HUMAN|Q7KZF4	168	HUMAN
music_clip_train	SRRM4|HUMAN|A7MD48	169	HUMAN
music_clip_train	SRSF1|HUMAN|Q07955	170	HUMAN
music_clip_train	SRSF10|HUMAN|O75494	171	HUMAN
music_clip_train	SRSF3|HUMAN|P84103	172	HUMAN
music_clip_train	SRSF7|HUMAN|Q16629	173	HUMAN
music_clip_train	SRSF9|HUMAN|Q13242	174	HUMAN
music_clip_train	SSB|HUMAN|P05455	175	HUMAN
music_clip_train	STAU1|HUMAN|O95793	176	HUMAN
music_clip_train	STAU2|HUMAN|Q9NUL3	177	HUMAN
music_clip_train	SUB1|HUMAN|P53999	178	HUMAN
music_clip_train	SUGP2|HUMAN|Q8IX01	179	HUMAN
music_clip_train	SUPV3L1|HUMAN|Q8IYB8	180	HUMAN
music_clip_train	TAF15|HUMAN|Q92804	181	HUMAN
music_clip_train	TARBP2|HUMAN|Q15633	182	HUMAN
music_clip_train	TARDBP|HUMAN|Q13148	183	HUMAN
music_clip_train	TBRG4|HUMAN|Q969Z0	184	HUMAN
music_clip_train	TDP43|HUMAN|Q13148	185	HUMAN
music_clip_train	TIA1|HUMAN|P31483	186	HUMAN
music_clip_train	TIAL1|HUMAN|Q01085	187	HUMAN
music_clip_train	TNRC6A|HUMAN|Q8NDV7	188	HUMAN
music_clip_train	TNRC6B|HUMAN|Q9UPQ9	189	HUMAN
music_clip_train	TNRC6C|HUMAN|Q9HCJ0	190	HUMAN
music_clip_train	TRA2A|HUMAN|Q13595	191	HUMAN
music_clip_train	TROVE2|HUMAN|P10155	192	HUMAN
music_clip_train	U2AF1|HUMAN|Q01081	193	HUMAN
music_clip_train	U2AF2|HUMAN|P26368	194	HUMAN
music_clip_train	U2AF65|HUMAN|P26368	195	HUMAN
music_clip_train	UCHL5|HUMAN|Q9Y5K5	196	HUMAN
music_clip_train	UNR|HUMAN|O75534	197	HUMAN
music_clip_train	UPF1|HUMAN|Q92900	198	HUMAN
music_clip_train	UTP18|HUMAN|Q9Y5J1	199	HUMAN
music_clip_train	UTP3|HUMAN|Q9NQZ2	200	HUMAN
music_clip_train	WDR3|HUMAN|Q9UNX4	201	HUMAN
music_clip_train	WDR33|HUMAN|Q9C0J8	202	HUMAN
music_clip_train	WDR43|HUMAN|Q15061	203	HUMAN
music_clip_train	WRN|HUMAN|Q14191	204	HUMAN
music_clip_train	WTAP|HUMAN|Q15007	205	HUMAN
music_clip_train	XPO5|HUMAN|Q9HAV4	206	HUMAN
music_clip_train	XRCC6|HUMAN|P12956	207	HUMAN
music_clip_train	XRN2|HUMAN|Q9H0D6	208	HUMAN
music_clip_train	YBX3|HUMAN|P16989	209	HUMAN
music_clip_train	YTHDC1|HUMAN|Q96MU7	210	HUMAN
music_clip_train	YTHDC2|HUMAN|Q9H6S0	211	HUMAN
music_clip_train	YTHDF1|HUMAN|Q9BYJ9	212	HUMAN
music_clip_train	YTHDF2|HUMAN|Q9Y5A9	213	HUMAN
music_clip_train	YTHDF3|HUMAN|Q7Z739	214	HUMAN
music_clip_train	YWHAG|HUMAN|P61981	215	HUMAN
music_clip_train	ZC3H11A|HUMAN|O75152	216	HUMAN
music_clip_train	ZC3H7B|HUMAN|Q9UGR2	217	HUMAN
music_clip_train	ZC3H8|HUMAN|Q8N5P1	218	HUMAN
music_clip_train	ZNF622|HUMAN|Q969S3	219	HUMAN
music_clip_train	ZNF800|HUMAN|Q2TB10	220	HUMAN
music_clip_train	ZRANB2|HUMAN|O95218	221	HUMAN
music_clip_train	AGO2|MOUSE|Q8CJG0	222	MOUSE
music_clip_train	APC|MOUSE|Q61315	223	MOUSE
music_clip_train	CELF1|MOUSE|P28659	224	MOUSE
music_clip_train	CELF2|MOUSE|Q9Z0H4	225	MOUSE
music_clip_train	CELF4|MOUSE|Q7TSY6	226	MOUSE
music_clip_train	CIRBP|MOUSE|P60824	227	MOUSE
music_clip_train	CPSF6|MOUSE|Q6NVF9	228	MOUSE
music_clip_train	CREBBP|MOUSE|P45481	229	MOUSE
music_clip_train	ELAVL1|MOUSE|P70372	230	MOUSE
music_clip_train	EZH2|MOUSE|Q61188	231	MOUSE
music_clip_train	FAM120A|MOUSE|Q6A0A9	232	MOUSE
music_clip_train	FUS|MOUSE|P56959	233	MOUSE
music_clip_train	HNRNPR|MOUSE|Q8VHM5	234	MOUSE
music_clip_train	LIN28A|MOUSE|Q8K3Y3	235	MOUSE
music_clip_train	MBNL1|MOUSE|Q9JKP5	236	MOUSE
music_clip_train	MBNL2|MOUSE|Q8C181	237	MOUSE
music_clip_train	MSI2|MOUSE|Q920Q6	238	MOUSE
music_clip_train	NOVA1|MOUSE|Q9JKN6	239	MOUSE
music_clip_train	NOVA2|MOUSE|A0A1W2P872	240	MOUSE
music_clip_train	PABPC1|MOUSE|P29341	241	MOUSE
music_clip_train	POU5F1|MOUSE|P20263	242	MOUSE
music_clip_train	PTBP1|MOUSE|P17225	243	MOUSE
music_clip_train	PTBP2|MOUSE|Q91Z31	244	MOUSE
music_clip_train	RBFOX1|MOUSE|Q9JJ43	245	MOUSE
music_clip_train	RBFOX2|MOUSE|Q8BP71	246	MOUSE
music_clip_train	RBFOX3|MOUSE|Q8BIF2	247	MOUSE
music_clip_train	RBM10|MOUSE|Q99KG3	248	MOUSE
music_clip_train	RBM3|MOUSE|O89086	249	MOUSE
music_clip_train	SRRM4|MOUSE|Q8BKA3	250	MOUSE
music_clip_train	SRSF1|MOUSE|Q6PDM2	251	MOUSE
music_clip_train	SRSF2|MOUSE|Q62093	252	MOUSE
music_clip_train	SRSF3|MOUSE|P84104	253	MOUSE
music_clip_train	SRSF4|MOUSE|Q8VE97	254	MOUSE
music_clip_train	SRSF7|MOUSE|Q8BL97	255	MOUSE
music_clip_train	TAF15|MOUSE|F6QCI0	256	MOUSE
music_clip_train	TARDBP|MOUSE|Q921F2	257	MOUSE
music_clip_train	TTP|MOUSE|P22893	258	MOUSE
music_clip_train	U2AF2|MOUSE|P26369	259	MOUSE
music_clip_train	UPF1|MOUSE|Q9EPU0	260	MOUSE
music_clip_train	YTHDC2|MOUSE|B2RR83	261	MOUSE
music_clip_train	YY1|MOUSE|Q00899	262	MOUSE
music_clip_train	ZFP36|MOUSE|P22893	263	MOUSE
external	LOC_Os05g24160.1	-1	ORYSJ
external	AtGRP7	-1	ARATH
external	AtGRP8	-1	ARATH
