embedding_row	protein_id	rbp_name	species_abbrev	protein_acc	protein_length	embedding_dim	model	esm_layer	max_aa_len_per_chunk	n_chunks	fasta_header
13	ALKBH1|HUMAN|Q13686	ALKBH1	HUMAN	Q13686	389	1280	esm2_t33_650M_UR50D	33	1022	1	>ALKBH1|HUMAN|requested=Q13686|resolved=Q13686 sp|Q13686|ALKB1_HUMAN Nucleic acid dioxygenase ALKBH1 OS=Homo sapiens OX=9606 GN=ALKBH1 PE=1 SV=2
14	ALKBH5|HUMAN|Q6P6C2	ALKBH5	HUMAN	Q6P6C2	394	1280	esm2_t33_650M_UR50D	33	1022	1	>ALKBH5|HUMAN|requested=Q6P6C2|resolved=Q6P6C2 sp|Q6P6C2|ALKB5_HUMAN RNA demethylase ALKBH5 OS=Homo sapiens OX=9606 GN=ALKBH5 PE=1 SV=2
15	ALYREF|HUMAN|Q86V81	ALYREF	HUMAN	Q86V81	257	1280	esm2_t33_650M_UR50D	33	1022	1	>ALYREF|HUMAN|requested=Q86V81|resolved=Q86V81 sp|Q86V81|THOC4_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3
16	APOBEC3C|HUMAN|Q9NRW3	APOBEC3C	HUMAN	Q9NRW3	190	1280	esm2_t33_650M_UR50D	33	1022	1	>APOBEC3C|HUMAN|requested=Q9NRW3|resolved=Q9NRW3 sp|Q9NRW3|ABC3C_HUMAN DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens OX=9606 GN=APOBEC3C PE=1 SV=2
17	AQR|HUMAN|O60306	AQR	HUMAN	O60306	1485	1280	esm2_t33_650M_UR50D	33	1022	2	>AQR|HUMAN|requested=O60306|resolved=O60306 sp|O60306|AQR_HUMAN RNA helicase aquarius OS=Homo sapiens OX=9606 GN=AQR PE=1 SV=4
18	ATXN2|HUMAN|Q99700	ATXN2	HUMAN	Q99700	1313	1280	esm2_t33_650M_UR50D	33	1022	2	>ATXN2|HUMAN|requested=Q99700|resolved=Q99700 sp|Q99700|ATX2_HUMAN Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=2
19	BCCIP|HUMAN|Q9P287	BCCIP	HUMAN	Q9P287	314	1280	esm2_t33_650M_UR50D	33	1022	1	>BCCIP|HUMAN|requested=Q9P287|resolved=Q9P287 sp|Q9P287|BCCIP_HUMAN BRCA2 and CDKN1A-interacting protein OS=Homo sapiens OX=9606 GN=BCCIP PE=1 SV=1
20	BCLAF1|HUMAN|Q9NYF8	BCLAF1	HUMAN	Q9NYF8	920	1280	esm2_t33_650M_UR50D	33	1022	1	>BCLAF1|HUMAN|requested=Q9NYF8|resolved=Q9NYF8 sp|Q9NYF8|BCLF1_HUMAN Bcl-2-associated transcription factor 1 OS=Homo sapiens OX=9606 GN=BCLAF1 PE=1 SV=2
21	BUD13|HUMAN|Q9BRD0	BUD13	HUMAN	Q9BRD0	619	1280	esm2_t33_650M_UR50D	33	1022	1	>BUD13|HUMAN|requested=Q9BRD0|resolved=Q9BRD0 sp|Q9BRD0|BUD13_HUMAN BUD13 homolog OS=Homo sapiens OX=9606 GN=BUD13 PE=1 SV=1
22	CAPRIN1|HUMAN|Q14444	CAPRIN1	HUMAN	Q14444	709	1280	esm2_t33_650M_UR50D	33	1022	1	>CAPRIN1|HUMAN|requested=Q14444|resolved=Q14444 sp|Q14444|CAPR1_HUMAN Caprin-1 OS=Homo sapiens OX=9606 GN=CAPRIN1 PE=1 SV=2
23	CDC40|HUMAN|O60508	CDC40	HUMAN	O60508	579	1280	esm2_t33_650M_UR50D	33	1022	1	>CDC40|HUMAN|requested=O60508|resolved=O60508 sp|O60508|PRP17_HUMAN Pre-mRNA-processing factor 17 OS=Homo sapiens OX=9606 GN=CDC40 PE=1 SV=1
24	CELF2|HUMAN|O95319	CELF2	HUMAN	O95319	508	1280	esm2_t33_650M_UR50D	33	1022	1	>CELF2|HUMAN|requested=O95319|resolved=O95319 sp|O95319|CELF2_HUMAN CUGBP Elav-like family member 2 OS=Homo sapiens OX=9606 GN=CELF2 PE=1 SV=1
25	CHTOP|HUMAN|Q9Y3Y2	CHTOP	HUMAN	Q9Y3Y2	248	1280	esm2_t33_650M_UR50D	33	1022	1	>CHTOP|HUMAN|requested=Q9Y3Y2|resolved=Q9Y3Y2 sp|Q9Y3Y2|CHTOP_HUMAN Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=2
26	CNBP|HUMAN|P62633	CNBP	HUMAN	P62633	177	1280	esm2_t33_650M_UR50D	33	1022	1	>CNBP|HUMAN|requested=P62633|resolved=P62633 sp|P62633|CNBP_HUMAN CCHC-type zinc finger nucleic acid binding protein OS=Homo sapiens OX=9606 GN=CNBP PE=1 SV=1
27	CPEB4|HUMAN|Q17RY0	CPEB4	HUMAN	Q17RY0	729	1280	esm2_t33_650M_UR50D	33	1022	1	>CPEB4|HUMAN|requested=Q17RY0|resolved=Q17RY0 sp|Q17RY0|CPEB4_HUMAN Cytoplasmic polyadenylation element-binding protein 4 OS=Homo sapiens OX=9606 GN=CPEB4 PE=1 SV=1
28	CPSF1|HUMAN|Q10570	CPSF1	HUMAN	Q10570	1443	1280	esm2_t33_650M_UR50D	33	1022	2	>CPSF1|HUMAN|requested=Q10570|resolved=Q10570 sp|Q10570|CPSF1_HUMAN Cleavage and polyadenylation specificity factor subunit 1 OS=Homo sapiens OX=9606 GN=CPSF1 PE=1 SV=2
29	CPSF2|HUMAN|Q9P2I0	CPSF2	HUMAN	Q9P2I0	782	1280	esm2_t33_650M_UR50D	33	1022	1	>CPSF2|HUMAN|requested=Q9P2I0|resolved=Q9P2I0 sp|Q9P2I0|CPSF2_HUMAN Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens OX=9606 GN=CPSF2 PE=1 SV=2
30	CPSF3|HUMAN|Q9UKF6	CPSF3	HUMAN	Q9UKF6	684	1280	esm2_t33_650M_UR50D	33	1022	1	>CPSF3|HUMAN|requested=Q9UKF6|resolved=Q9UKF6 sp|Q9UKF6|CPSF3_HUMAN Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=1
31	CPSF4|HUMAN|O95639	CPSF4	HUMAN	O95639	269	1280	esm2_t33_650M_UR50D	33	1022	1	>CPSF4|HUMAN|requested=O95639|resolved=O95639 sp|O95639|CPSF4_HUMAN Cleavage and polyadenylation specificity factor subunit 4 OS=Homo sapiens OX=9606 GN=CPSF4 PE=1 SV=1
32	CPSF6|HUMAN|Q16630	CPSF6	HUMAN	Q16630	551	1280	esm2_t33_650M_UR50D	33	1022	1	>CPSF6|HUMAN|requested=Q16630|resolved=Q16630 sp|Q16630|CPSF6_HUMAN Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens OX=9606 GN=CPSF6 PE=1 SV=2
33	CPSF7|HUMAN|Q8N684	CPSF7	HUMAN	Q8N684	471	1280	esm2_t33_650M_UR50D	33	1022	1	>CPSF7|HUMAN|requested=Q8N684|resolved=Q8N684 sp|Q8N684|CPSF7_HUMAN Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1
34	CSTF2|HUMAN|P33240	CSTF2	HUMAN	P33240	577	1280	esm2_t33_650M_UR50D	33	1022	1	>CSTF2|HUMAN|requested=P33240|resolved=P33240 sp|P33240|CSTF2_HUMAN Cleavage stimulation factor subunit 2 OS=Homo sapiens OX=9606 GN=CSTF2 PE=1 SV=1
35	CSTF2T|HUMAN|Q9H0L4	CSTF2T	HUMAN	Q9H0L4	616	1280	esm2_t33_650M_UR50D	33	1022	1	>CSTF2T|HUMAN|requested=Q9H0L4|resolved=Q9H0L4 sp|Q9H0L4|CSTFT_HUMAN Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens OX=9606 GN=CSTF2T PE=1 SV=1
36	DDX21|HUMAN|Q9NR30	DDX21	HUMAN	Q9NR30	783	1280	esm2_t33_650M_UR50D	33	1022	1	>DDX21|HUMAN|requested=Q9NR30|resolved=Q9NR30 sp|Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5
37	DDX24|HUMAN|Q9GZR7	DDX24	HUMAN	Q9GZR7	859	1280	esm2_t33_650M_UR50D	33	1022	1	>DDX24|HUMAN|requested=Q9GZR7|resolved=Q9GZR7 sp|Q9GZR7|DDX24_HUMAN ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1
38	DDX3|HUMAN|O00571	DDX3	HUMAN	O00571	662	1280	esm2_t33_650M_UR50D	33	1022	1	>DDX3|HUMAN|requested=O00571|resolved=O00571 sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3
39	DDX3X|HUMAN|O00571	DDX3X	HUMAN	O00571	662	1280	esm2_t33_650M_UR50D	33	1022	1	>DDX3X|HUMAN|requested=O00571|resolved=O00571 sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3
40	DDX42|HUMAN|Q86XP3	DDX42	HUMAN	Q86XP3	938	1280	esm2_t33_650M_UR50D	33	1022	1	>DDX42|HUMAN|requested=Q86XP3|resolved=Q86XP3 sp|Q86XP3|DDX42_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1
41	DDX51|HUMAN|Q8N8A6	DDX51	HUMAN	Q8N8A6	666	1280	esm2_t33_650M_UR50D	33	1022	1	>DDX51|HUMAN|requested=Q8N8A6|resolved=Q8N8A6 sp|Q8N8A6|DDX51_HUMAN ATP-dependent RNA helicase DDX51 OS=Homo sapiens OX=9606 GN=DDX51 PE=1 SV=3
42	DDX52|HUMAN|Q9Y2R4	DDX52	HUMAN	Q9Y2R4	599	1280	esm2_t33_650M_UR50D	33	1022	1	>DDX52|HUMAN|requested=Q9Y2R4|resolved=Q9Y2R4 sp|Q9Y2R4|DDX52_HUMAN Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens OX=9606 GN=DDX52 PE=1 SV=4
43	DDX55|HUMAN|Q8NHQ9	DDX55	HUMAN	Q8NHQ9	600	1280	esm2_t33_650M_UR50D	33	1022	1	>DDX55|HUMAN|requested=Q8NHQ9|resolved=Q8NHQ9 sp|Q8NHQ9|DDX55_HUMAN ATP-dependent RNA helicase DDX55 OS=Homo sapiens OX=9606 GN=DDX55 PE=1 SV=3
44	DDX59|HUMAN|Q5T1V6	DDX59	HUMAN	Q5T1V6	619	1280	esm2_t33_650M_UR50D	33	1022	1	>DDX59|HUMAN|requested=Q5T1V6|resolved=Q5T1V6 sp|Q5T1V6|DDX59_HUMAN Probable ATP-dependent RNA helicase DDX59 OS=Homo sapiens OX=9606 GN=DDX59 PE=1 SV=1
45	DDX6|HUMAN|P26196	DDX6	HUMAN	P26196	483	1280	esm2_t33_650M_UR50D	33	1022	1	>DDX6|HUMAN|requested=P26196|resolved=P26196 sp|P26196|DDX6_HUMAN Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2
46	DGCR8|HUMAN|Q8WYQ5	DGCR8	HUMAN	Q8WYQ5	773	1280	esm2_t33_650M_UR50D	33	1022	1	>DGCR8|HUMAN|requested=Q8WYQ5|resolved=Q8WYQ5 sp|Q8WYQ5|DGCR8_HUMAN Microprocessor complex subunit DGCR8 OS=Homo sapiens OX=9606 GN=DGCR8 PE=1 SV=1
47	DHX30|HUMAN|Q7L2E3	DHX30	HUMAN	Q7L2E3	1194	1280	esm2_t33_650M_UR50D	33	1022	2	>DHX30|HUMAN|requested=Q7L2E3|resolved=Q7L2E3 sp|Q7L2E3|DHX30_HUMAN ATP-dependent RNA helicase DHX30 OS=Homo sapiens OX=9606 GN=DHX30 PE=1 SV=1
48	DICER1|HUMAN|Q9UPY3	DICER1	HUMAN	Q9UPY3	1922	1280	esm2_t33_650M_UR50D	33	1022	2	>DICER1|HUMAN|requested=Q9UPY3|resolved=Q9UPY3 sp|Q9UPY3|DICER_HUMAN Endoribonuclease Dicer OS=Homo sapiens OX=9606 GN=DICER1 PE=1 SV=3
49	DIS3L2|HUMAN|Q8IYB7	DIS3L2	HUMAN	Q8IYB7	885	1280	esm2_t33_650M_UR50D	33	1022	1	>DIS3L2|HUMAN|requested=Q8IYB7|resolved=Q8IYB7 sp|Q8IYB7|DI3L2_HUMAN DIS3-like exonuclease 2 OS=Homo sapiens OX=9606 GN=DIS3L2 PE=1 SV=4
50	DKC1|HUMAN|O60832	DKC1	HUMAN	O60832	514	1280	esm2_t33_650M_UR50D	33	1022	1	>DKC1|HUMAN|requested=O60832|resolved=O60832 sp|O60832|DKC1_HUMAN H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3
51	DROSHA|HUMAN|Q9NRR4	DROSHA	HUMAN	Q9NRR4	1374	1280	esm2_t33_650M_UR50D	33	1022	2	>DROSHA|HUMAN|requested=Q9NRR4|resolved=Q9NRR4 sp|Q9NRR4|RNC_HUMAN Ribonuclease 3 OS=Homo sapiens OX=9606 GN=DROSHA PE=1 SV=2
52	EFTUD2|HUMAN|Q15029	EFTUD2	HUMAN	Q15029	972	1280	esm2_t33_650M_UR50D	33	1022	1	>EFTUD2|HUMAN|requested=Q15029|resolved=Q15029 sp|Q15029|U5S1_HUMAN 116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens OX=9606 GN=EFTUD2 PE=1 SV=1
53	EIF3A|HUMAN|Q14152	EIF3A	HUMAN	Q14152	1382	1280	esm2_t33_650M_UR50D	33	1022	2	>EIF3A|HUMAN|requested=Q14152|resolved=Q14152 sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1
54	EIF3B|HUMAN|P55884	EIF3B	HUMAN	P55884	814	1280	esm2_t33_650M_UR50D	33	1022	1	>EIF3B|HUMAN|requested=P55884|resolved=P55884 sp|P55884|EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3
55	EIF3D|HUMAN|O15371	EIF3D	HUMAN	O15371	548	1280	esm2_t33_650M_UR50D	33	1022	1	>EIF3D|HUMAN|requested=O15371|resolved=O15371 sp|O15371|EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1
56	EIF3G|HUMAN|O75821	EIF3G	HUMAN	O75821	320	1280	esm2_t33_650M_UR50D	33	1022	1	>EIF3G|HUMAN|requested=O75821|resolved=O75821 sp|O75821|EIF3G_HUMAN Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2
57	EIF3H|HUMAN|O15372	EIF3H	HUMAN	O15372	352	1280	esm2_t33_650M_UR50D	33	1022	1	>EIF3H|HUMAN|requested=O15372|resolved=O15372 sp|O15372|EIF3H_HUMAN Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1
58	EIF4A3|HUMAN|P38919	EIF4A3	HUMAN	P38919	411	1280	esm2_t33_650M_UR50D	33	1022	1	>EIF4A3|HUMAN|requested=P38919|resolved=P38919 sp|P38919|IF4A3_HUMAN Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4
59	EIF4G2|HUMAN|P78344	EIF4G2	HUMAN	P78344	907	1280	esm2_t33_650M_UR50D	33	1022	1	>EIF4G2|HUMAN|requested=P78344|resolved=P78344 sp|P78344|IF4G2_HUMAN Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1
60	ELAVL1|HUMAN|Q15717	ELAVL1	HUMAN	Q15717	326	1280	esm2_t33_650M_UR50D	33	1022	1	>ELAVL1|HUMAN|requested=Q15717|resolved=Q15717 sp|Q15717|ELAV1_HUMAN ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2
61	EWSR1|HUMAN|Q01844	EWSR1	HUMAN	Q01844	656	1280	esm2_t33_650M_UR50D	33	1022	1	>EWSR1|HUMAN|requested=Q01844|resolved=Q01844 sp|Q01844|EWS_HUMAN RNA-binding protein EWS OS=Homo sapiens OX=9606 GN=EWSR1 PE=1 SV=1
62	EXOSC5|HUMAN|Q9NQT4	EXOSC5	HUMAN	Q9NQT4	235	1280	esm2_t33_650M_UR50D	33	1022	1	>EXOSC5|HUMAN|requested=Q9NQT4|resolved=Q9NQT4 sp|Q9NQT4|EXOS5_HUMAN Exosome complex component RRP46 OS=Homo sapiens OX=9606 GN=EXOSC5 PE=1 SV=1
63	FAM120A|HUMAN|Q9NZB2	FAM120A	HUMAN	Q9NZB2	1118	1280	esm2_t33_650M_UR50D	33	1022	2	>FAM120A|HUMAN|requested=Q9NZB2|resolved=Q9NZB2 sp|Q9NZB2|F120A_HUMAN Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2
64	FASTKD2|HUMAN|Q9NYY8	FASTKD2	HUMAN	Q9NYY8	710	1280	esm2_t33_650M_UR50D	33	1022	1	>FASTKD2|HUMAN|requested=Q9NYY8|resolved=Q9NYY8 sp|Q9NYY8|FAKD2_HUMAN FAST kinase domain-containing protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=FASTKD2 PE=1 SV=1
65	FBL|HUMAN|P22087	FBL	HUMAN	P22087	321	1280	esm2_t33_650M_UR50D	33	1022	1	>FBL|HUMAN|requested=P22087|resolved=P22087 sp|P22087|FBRL_HUMAN rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens OX=9606 GN=FBL PE=1 SV=2
66	FIP1L1|HUMAN|Q6UN15	FIP1L1	HUMAN	Q6UN15	594	1280	esm2_t33_650M_UR50D	33	1022	1	>FIP1L1|HUMAN|requested=Q6UN15|resolved=Q6UN15 sp|Q6UN15|FIP1_HUMAN Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens OX=9606 GN=FIP1L1 PE=1 SV=1
67	FKBP4|HUMAN|Q02790	FKBP4	HUMAN	Q02790	459	1280	esm2_t33_650M_UR50D	33	1022	1	>FKBP4|HUMAN|requested=Q02790|resolved=Q02790 sp|Q02790|FKBP4_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3
68	FMR1|HUMAN|Q06787	FMR1	HUMAN	Q06787	632	1280	esm2_t33_650M_UR50D	33	1022	1	>FMR1|HUMAN|requested=Q06787|resolved=Q06787 sp|Q06787|FMR1_HUMAN Fragile X messenger ribonucleoprotein 1 OS=Homo sapiens OX=9606 GN=FMR1 PE=1 SV=1
69	FTO|HUMAN|Q9C0B1	FTO	HUMAN	Q9C0B1	505	1280	esm2_t33_650M_UR50D	33	1022	1	>FTO|HUMAN|requested=Q9C0B1|resolved=Q9C0B1 sp|Q9C0B1|FTO_HUMAN Alpha-ketoglutarate-dependent dioxygenase FTO OS=Homo sapiens OX=9606 GN=FTO PE=1 SV=3
70	FUBP3|HUMAN|Q96I24	FUBP3	HUMAN	Q96I24	572	1280	esm2_t33_650M_UR50D	33	1022	1	>FUBP3|HUMAN|requested=Q96I24|resolved=Q96I24 sp|Q96I24|FUBP3_HUMAN Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2
71	FUS|HUMAN|P35637	FUS	HUMAN	P35637	526	1280	esm2_t33_650M_UR50D	33	1022	1	>FUS|HUMAN|requested=P35637|resolved=P35637 sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1
72	FXR1|HUMAN|P51114	FXR1	HUMAN	P51114	621	1280	esm2_t33_650M_UR50D	33	1022	1	>FXR1|HUMAN|requested=P51114|resolved=P51114 sp|P51114|FXR1_HUMAN RNA-binding protein FXR1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3
73	FXR2|HUMAN|P51116	FXR2	HUMAN	P51116	673	1280	esm2_t33_650M_UR50D	33	1022	1	>FXR2|HUMAN|requested=P51116|resolved=P51116 sp|P51116|FXR2_HUMAN RNA-binding protein FXR2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2
74	G3BP1|HUMAN|Q13283	G3BP1	HUMAN	Q13283	466	1280	esm2_t33_650M_UR50D	33	1022	1	>G3BP1|HUMAN|requested=Q13283|resolved=Q13283 sp|Q13283|G3BP1_HUMAN Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1
75	GEMIN5|HUMAN|Q8TEQ6	GEMIN5	HUMAN	Q8TEQ6	1508	1280	esm2_t33_650M_UR50D	33	1022	2	>GEMIN5|HUMAN|requested=Q8TEQ6|resolved=Q8TEQ6 sp|Q8TEQ6|GEMI5_HUMAN Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3
76	GNL3|HUMAN|Q9BVP2	GNL3	HUMAN	Q9BVP2	549	1280	esm2_t33_650M_UR50D	33	1022	1	>GNL3|HUMAN|requested=Q9BVP2|resolved=Q9BVP2 sp|Q9BVP2|GNL3_HUMAN Guanine nucleotide-binding protein-like 3 OS=Homo sapiens OX=9606 GN=GNL3 PE=1 SV=2
77	GPKOW|HUMAN|Q92917	GPKOW	HUMAN	Q92917	476	1280	esm2_t33_650M_UR50D	33	1022	1	>GPKOW|HUMAN|requested=Q92917|resolved=Q92917 sp|Q92917|GPKOW_HUMAN G-patch domain and KOW motifs-containing protein OS=Homo sapiens OX=9606 GN=GPKOW PE=1 SV=2
78	GRSF1|HUMAN|Q12849	GRSF1	HUMAN	Q12849	480	1280	esm2_t33_650M_UR50D	33	1022	1	>GRSF1|HUMAN|requested=Q12849|resolved=Q12849 sp|Q12849|GRSF1_HUMAN G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=3
79	GRWD1|HUMAN|Q9BQ67	GRWD1	HUMAN	Q9BQ67	446	1280	esm2_t33_650M_UR50D	33	1022	1	>GRWD1|HUMAN|requested=Q9BQ67|resolved=Q9BQ67 sp|Q9BQ67|GRWD1_HUMAN Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=GRWD1 PE=1 SV=1
80	GTF2F1|HUMAN|P35269	GTF2F1	HUMAN	P35269	517	1280	esm2_t33_650M_UR50D	33	1022	1	>GTF2F1|HUMAN|requested=P35269|resolved=P35269 sp|P35269|T2FA_HUMAN General transcription factor IIF subunit 1 OS=Homo sapiens OX=9606 GN=GTF2F1 PE=1 SV=2
81	HLTF|HUMAN|Q14527	HLTF	HUMAN	Q14527	1009	1280	esm2_t33_650M_UR50D	33	1022	1	>HLTF|HUMAN|requested=Q14527|resolved=Q14527 sp|Q14527|HLTF_HUMAN DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF OS=Homo sapiens OX=9606 GN=HLTF PE=1 SV=2
